uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp,ipca_acum_ano,ipca_var_mensal
MA,2020,3,8656.4,26.271010020225887,6080.4800000000005,26.32535244973591,2575.919999999999,-0.05434242951002233,1.63,1.13
MA,2020,4,6614.8,26.36129888166968,5035.280000000001,26.54547160293439,1579.5199999999995,-0.18417272126471218,3.45,1.79
MA,2020,5,903.1999999999999,27.25465499440138,2083.2799999999997,27.07577703857108,-1180.08,0.17887795583030197,3.7,0.24
MA,2020,6,176.8,26.648383419434623,990.0799999999999,26.828559316838675,-813.28,-0.1801758974040517,4.09,0.38
MA,2020,7,36.4,26.49070770049566,336.96,26.811151810914925,-300.56,-0.3204441104192668,4.1,0.01
MA,2020,8,15.6,27.417769559529322,141.28,27.648458944353173,-125.68,-0.23068938482385093,4.91,0.78
MA,2020,9,77.60000000000001,28.763468454947336,166.96,28.772843328060787,-89.36,-0.009374873113451088,7.3,2.28
MA,2020,10,502.8,28.853429071571256,534.08,28.954107219791176,-31.28000000000003,-0.10067814821992016,9.37,1.93
MA,2020,11,1639.6,27.52810289992907,1838.4,28.11472428269197,-198.80000000000018,-0.5866213827628997,12.14,2.54
MA,2020,12,1265.2,27.25852334745589,1985.6,27.779072745696975,-720.3999999999999,-0.5205493982410871,14.09,1.74
MA,2021,1,1328.8,26.64145296151863,3769.84,26.791873516563754,-2441.04,-0.1504205550451232,1.02,1.02
MA,2021,2,2477.2,26.39953165582568,4110.16,26.6361462357567,-1632.96,-0.23661457993102175,1.3,0.27
MA,2021,3,2870.0,26.25040678585759,6080.4800000000005,26.32535244973591,-3210.4800000000005,-0.0749456638783208,1.43,0.13
MA,2021,4,1322.0,26.908955138611386,5035.280000000001,26.54547160293439,-3713.2800000000007,0.36348353567699476,1.83,0.4
MA,2021,5,772.8000000000001,27.18210208862806,2083.2799999999997,27.07577703857108,-1310.4799999999996,0.10632505005698079,2.28,0.44
MA,2021,6,378.0,26.92458688257912,990.0799999999999,26.828559316838675,-612.0799999999999,0.09602756574044591,2.72,0.43
MA,2021,7,238.4,27.12068218825632,336.96,26.811151810914925,-98.55999999999997,0.309530377341396,3.34,0.6
MA,2021,8,70.0,28.15912476253564,141.28,27.648458944353173,-71.28,0.510665818182467,4.77,1.39
MA,2021,9,336.8,29.429974732246077,166.96,28.772843328060787,169.84,0.6571314041852894,5.84,1.02
MA,2021,10,303.6,28.99073771606599,534.08,28.954107219791176,-230.48000000000002,0.03663049627481385,7.08,1.17
MA,2021,11,534.8,28.799604886109055,1838.4,28.11472428269197,-1303.6000000000001,0.6848806034170849,7.04,-0.04
MA,2021,12,1104.4,28.76697615419956,1985.6,27.779072745696975,-881.1999999999998,0.9879034085025857,7.94,0.84
MA,2022,1,906.8000000000001,27.387953436569116,3769.84,26.791873516563754,-2863.04,0.5960799200053621,1.11,1.11
MA,2022,2,918.8,27.577369176134205,4110.16,26.6361462357567,-3191.3599999999997,0.9412229403775036,2.41,1.28
