uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AM,2024,9,1696.8,29.330567039953802,1651.1200000000001,28.558420234977156,45.679999999999836,0.7721468049766465
AM,2024,10,1859.6000000000001,28.792970211024834,2588.0,28.197737692460727,-728.3999999999999,0.5952325185641065
AM,2024,11,2244.4,27.847944122014958,2751.28,27.590689292535963,-506.8800000000001,0.25725482947899536
AM,2024,12,6296.4,27.112270844206403,5545.84,26.82162235356599,750.5599999999995,0.29064849064041454
AP,2020,1,916.0,25.999027869823802,1079.6,26.75998637899296,-163.5999999999999,-0.7609585091691571
AP,2020,2,786.4,25.934340569946286,1062.0,25.763088981997708,-275.6,0.17125158794857853
AP,2020,3,942.8,26.107862371966508,1278.72,25.889499650507275,-335.9200000000001,0.21836272145923274
AP,2020,4,1667.6,26.05719313203137,1753.6799999999998,26.106005764099496,-86.07999999999993,-0.04881263206812747
AP,2020,5,1189.6,27.024550530115043,1906.2400000000002,26.55273094564719,-716.6400000000003,0.4718195844678519
AP,2020,6,1074.4,26.174375,971.8400000000001,26.656106635883987,102.55999999999995,-0.4817316358839854
AP,2020,7,478.0,26.594690860215056,619.0400000000001,27.11054092026141,-141.04000000000008,-0.515850060046354
AP,2020,8,409.2,27.554435483870968,263.28000000000003,28.064231143836686,145.91999999999996,-0.5097956599657181
AP,2020,9,207.20000000000002,27.943973429951694,115.35999999999999,28.827362922705316,91.84000000000003,-0.8833894927536221
AP,2020,10,71.2,28.573374877810362,107.68000000000002,28.557069401058268,-36.48000000000002,0.016305476752094705
AP,2020,11,1232.8,27.019489734299516,445.28000000000003,27.756737589634007,787.52,-0.7372478553344912
AP,2020,12,301.6,27.00420360596442,731.6,26.74075728301573,-430.0,0.26344632294869186
AP,2021,1,812.4,26.065995697727413,1079.6,26.75998637899296,-267.19999999999993,-0.6939906812655465
AP,2021,2,1216.4,25.295331993963593,1062.0,25.763088981997708,154.4000000000001,-0.4677569880341146
AP,2021,3,1531.6,25.364598663958763,1278.72,25.889499650507275,252.87999999999988,-0.5249009865485128
