uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
MA,2023,Soja (em grão),30775.600000000002,26.66316544902083,1060.2514285714285,-0.6435128442892933,3821792.0,1190047.0,1190047.0,3211.0,1.11,1.03
MA,2024,Soja (em grão),32050.399999999998,27.607236528561902,1242.3657142857141,0.30055823525177416,4073259.0,1302915.0,1302915.0,3126.0,1.18,7.69
MG,2020,Soja (em grão),107596.4,22.906852193747685,7038.539999999999,-0.4111962062507555,6218740.0,1695702.0,1695672.0,3667.0,2.23,16.32
MG,2021,Soja (em grão),118593.2,23.24936098626679,-3881.257142857144,-0.24777025094970132,6984227.0,1935260.0,1935060.0,3609.0,1.07,6.72
MG,2022,Soja (em grão),152368.4,23.166413162931498,943.7714285714277,-0.33071807428499156,7639648.0,2022682.0,2022682.0,3777.0,1.25,13.55
MG,2023,Soja (em grão),153814.0,23.00139575469289,1150.2857142857133,-0.49573548252360056,8459161.0,2214362.0,2214362.0,3820.0,1.89,0.72
MG,2024,Soja (em grão),123281.20000000001,24.727190543659646,-3211.542857142858,1.2300593064431555,7740542.0,2274950.0,2273439.0,3405.0,0.81,8.09
MS,2020,Soja (em grão),26581.999999999996,25.66881154530121,1252.8399999999997,-0.16489451098672614,10939032.0,3121522.0,3121490.0,3504.0,1.74,14.09
MS,2021,Soja (em grão),30129.600000000002,25.921210850960648,-1068.7428571428572,-0.16966758737283882,12226648.0,3377042.0,3375260.0,3622.0,0.84,7.94
MS,2022,Soja (em grão),13738.4,26.497942007549987,-3410.342857142857,0.407063569216497,8538611.0,3694468.0,3653429.0,2337.0,0.66,11.64
MS,2023,Soja (em grão),51155.6,24.860508766274965,1934.9714285714285,-1.2303696720585242,14193250.0,3884468.0,3884468.0,3654.0,1.11,1.03
MS,2024,Soja (em grão),44427.600000000006,27.102529702328187,973.8285714285713,1.0116512639946984,11303640.0,4043539.0,4039160.0,2799.0,1.18,7.69
MT,2020,Soja (em grão),44273.2,25.799213758235673,3425.0799999999995,0.16513842928934253,35070044.0,9989649.0,9989649.0,3511.0,1.74,14.09
